da,equity
2024-04-24 21:45:00,643.38
2024-04-25 22:45:00,643.38
2024-04-26 23:45:00,643.38
2024-04-28 00:45:00,643.38
2024-04-29 01:45:00,643.38
2024-04-30 02:45:00,643.38
2024-05-01 03:45:00,643.38
2024-05-02 04:45:00,643.38
2024-05-03 05:45:00,643.38
2024-05-04 06:45:00,643.38
2024-05-05 07:45:00,643.38
2024-05-06 08:45:00,643.38
2024-05-07 09:45:00,643.38
2024-05-08 10:45:00,643.38
2024-05-09 11:45:00,643.38
2024-05-10 12:45:00,643.38
2024-05-11 13:45:00,643.38
2024-05-12 14:45:00,643.38
2024-05-13 15:45:00,643.38
2024-05-14 16:45:00,643.38
2024-05-15 17:45:00,643.38
2024-05-16 18:45:00,643.38
2024-05-17 19:45:00,643.38
2024-05-18 20:45:00,643.38
2024-05-19 21:45:00,643.38
2024-05-20 22:45:00,643.38
2024-05-21 23:45:00,643.38
2024-05-23 00:45:00,643.38
2024-05-24 01:45:00,643.38
2024-05-25 02:45:00,643.38
2024-05-26 03:45:00,643.38
2024-05-27 04:45:00,643.38
2024-05-28 05:45:00,643.38
2024-05-29 06:45:00,643.38
2024-05-30 07:45:00,643.38
2024-05-31 08:45:00,643.38
2024-06-01 09:45:00,643.38
2024-06-02 10:45:00,643.38
2024-06-03 11:45:00,643.38
2024-06-04 12:45:00,643.38
2024-06-05 13:45:00,643.38
2024-06-06 14:45:00,643.38
2024-06-07 15:45:00,643.38
2024-06-08 16:45:00,643.38
2024-06-09 17:45:00,643.38
2024-06-10 18:45:00,643.38
2024-06-11 19:45:00,643.38
2024-06-12 20:45:00,643.38
2024-06-13 21:45:00,643.38
2024-06-14 22:45:00,643.38
2024-06-15 23:45:00,643.38
2024-06-17 00:45:00,643.38
2024-06-18 01:45:00,643.38
2024-06-19 02:45:00,643.38
2024-06-20 03:45:00,643.38
2024-06-21 04:45:00,643.38
2024-06-22 05:45:00,643.38
2024-06-23 06:45:00,643.38
2024-06-24 07:45:00,643.38
2024-06-25 08:45:00,643.38
2024-06-26 09:45:00,643.38
2024-06-27 10:45:00,643.38
2024-06-28 11:45:00,643.38
2024-06-29 12:45:00,643.38
2024-06-30 13:45:00,643.38
2024-07-01 14:45:00,643.38
2024-07-02 15:45:00,643.38
2024-07-03 16:45:00,643.38
2024-07-04 17:45:00,643.38
2024-07-05 18:45:00,643.38
2024-07-06 19:45:00,643.38
2024-07-07 20:45:00,643.38
2024-07-08 21:45:00,643.38
2024-07-09 22:45:00,643.38
2024-07-10 23:45:00,643.38
2024-07-12 00:45:00,643.38
2024-07-13 01:45:00,643.38
2024-07-14 02:45:00,643.38
2024-07-15 03:45:00,643.38
2024-07-16 04:45:00,643.38
2024-07-17 05:45:00,643.38
2024-07-18 06:45:00,643.38
2024-07-19 07:45:00,643.38
2024-07-20 08:45:00,643.38
2024-07-21 09:45:00,643.38
2024-07-22 10:45:00,643.38
2024-07-23 11:45:00,643.38
2024-07-24 12:45:00,643.38
2024-07-25 13:45:00,643.38
2024-07-26 14:45:00,643.38
2024-07-27 15:45:00,643.38
2024-07-28 16:45:00,643.38
2024-07-29 17:45:00,643.38
2024-07-30 18:45:00,643.38
2024-07-31 19:45:00,643.38
2024-08-01 20:45:00,643.38
2024-08-02 21:45:00,643.38
2024-08-03 22:45:00,643.38
2024-08-04 23:45:00,643.38
2024-08-06 00:45:00,643.38
2024-08-07 01:45:00,643.38
2024-08-08 02:45:00,643.38
2024-08-09 03:45:00,643.38
2024-08-10 04:45:00,643.38
2024-08-11 05:45:00,643.38
2024-08-12 06:45:00,643.38
2024-08-13 07:45:00,643.38
2024-08-14 08:45:00,643.38
2024-08-15 09:45:00,643.38
2024-08-16 10:45:00,643.38
2024-08-17 11:45:00,643.38
2024-08-18 12:45:00,643.38
2024-08-19 13:45:00,643.38
2024-08-20 14:45:00,643.38
2024-08-21 15:45:00,643.38
2024-08-22 16:45:00,643.38
2024-08-23 17:45:00,643.38
2024-08-24 18:45:00,643.38
2024-08-25 19:45:00,643.38
2024-08-26 20:45:00,643.38
2024-08-27 21:45:00,643.38
2024-08-28 22:45:00,643.38
2024-08-29 23:45:00,643.38
2024-08-31 00:45:00,643.38
2024-09-01 01:45:00,643.38
2024-09-02 02:45:00,643.38
2024-09-03 03:45:00,643.38
2024-09-04 04:45:00,643.38
2024-09-05 05:45:00,643.38
2024-09-06 06:45:00,643.38
2024-09-07 07:45:00,643.38
2024-09-08 08:45:00,643.38
2024-09-09 09:45:00,643.38
2024-09-10 10:45:00,643.38
2024-09-11 11:45:00,643.38
